Time	Channel A	Channel B
(ms)	(V)	(V)

11.39999971	2.48093000	-1.30505700
11.41999971	2.48093000	-1.30505700
11.43999971	2.48093000	-1.30505700
11.45999971	2.48093000	-1.30505700
11.47999971	2.48093000	-1.30505700
11.49999971	2.48093000	-1.21801200
11.51999971	2.48093000	-1.21801200
11.53999971	2.48093000	-1.21801200
11.55999971	2.48093000	-1.21801200
11.57999971	2.48093000	-1.13096700
11.59999971	2.48093000	-1.13096700
11.61999971	2.48093000	-1.13096700
11.63999971	2.48093000	-1.13096700
11.65999971	2.48093000	-1.13096700
11.67999970	2.48093000	-1.04392200
11.69999970	2.48093000	-1.04392200
11.71999970	2.48093000	-1.04392200
11.73999970	2.48093000	-1.04392200
11.75999970	2.48093000	-0.95687750
11.77999970	2.48093000	-0.95687750
11.79999970	2.43663900	-0.95687750
11.81999970	2.48093000	-0.95687750
11.83999970	2.48093000	-0.95687750
11.85999970	2.48093000	-0.95687750
11.87999970	2.43663900	-0.86983270
11.89999970	2.48093000	-0.86983270
11.91999970	2.43663900	-0.86983270
11.93999970	2.43663900	-0.86983270
11.95999970	2.48093000	-0.78309550
11.97999970	2.43663900	-0.78309550
11.99999970	2.43663900	-0.78309550
12.01999970	2.43663900	-0.78309550
12.03999970	2.43663900	-0.78309550
12.05999970	2.48093000	-0.69605070
12.07999969	2.43663900	-0.69605070
12.09999969	2.48093000	-0.69605070
12.11999969	2.43663900	-0.69605070
12.13999969	2.43663900	-0.69605070
12.15999969	2.43663900	-0.69605070
12.17999969	2.43663900	-0.60900590
12.19999969	2.48093000	-0.60900590
12.21999969	2.43663900	-0.60900590
12.23999969	2.43663900	-0.60900590
12.25999969	2.43663900	-0.60900590
12.27999969	2.48093000	-0.52196110
12.29999969	2.43663900	-0.52196110
12.31999969	2.43663900	-0.52196110
12.33999969	2.43663900	-0.52196110
12.35999969	2.48093000	-0.43491630
12.37999969	2.43663900	-0.52196110
12.39999969	2.43663900	-0.43491630
12.41999969	2.43663900	-0.43491630
12.43999969	2.43663900	-0.34787150
12.45999969	2.43663900	-0.34787150
12.47999968	2.43663900	-0.43491630
12.49999968	2.43663900	-0.34787150
12.51999968	2.43663900	-0.34787150
12.53999968	2.43663900	-0.34787150
12.55999968	2.48093000	-0.34787150
12.57999968	2.43663900	-0.26082680
12.59999968	2.43663900	-0.26082680
12.61999968	2.43663900	-0.26082680
12.63999968	2.43663900	-0.17378200
12.65999968	2.48093000	-0.17378200
12.67999968	2.43663900	-0.17378200
12.69999968	2.48093000	-0.17378200
12.71999968	2.43663900	-0.17378200
12.73999968	2.43663900	-0.08673721
12.75999968	2.43663900	-0.08673721
12.77999968	2.48093000	-0.08673721
